City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,276.94,87,20,0.0,AR,1717520291
1,iqaluit,63.7506,-68.5145,275.0,93,100,3.6,CA,1717520415
2,yellowknife,62.456,-114.3525,281.71,80,75,6.17,CA,1717520523
3,edinburgh of the seven seas,-37.0676,-12.3116,287.36,75,93,7.18,SH,1717520524
4,ola,59.5833,151.2833,277.12,90,94,3.3,RU,1717520524
5,ilulissat,69.2167,-51.1,277.16,48,75,3.09,GL,1717520525
6,shamkhor,40.8297,46.0189,300.35,46,19,1.49,AZ,1717520525
7,invercargill,-46.4,168.35,275.94,94,100,0.45,NZ,1717520526
8,puerto natales,-51.7236,-72.4875,275.4,75,40,1.03,CL,1717520446
9,puerto ayora,-0.7393,-90.3518,300.13,93,65,1.34,EC,1717520397
10,guane,22.2025,-84.0875,306.77,46,42,4.42,CU,1717520528
11,blackmans bay,-43.0167,147.3167,281.89,95,87,0.45,AU,1717520528
12,ilminster,50.9268,-2.9101,289.81,78,99,0.89,GB,1717520529
13,sitka,57.0531,-135.33,283.4,80,96,2.02,US,1717520530
14,arraial do cabo,-22.9661,-42.0278,299.13,78,75,6.17,BR,1717520531
15,bamyan,34.75,67.25,283.02,56,3,4.67,AF,1717520532
16,namibe,-15.1961,12.1522,292.93,73,24,3.68,AO,1717520532
17,grytviken,-54.2811,-36.5092,272.31,80,47,10.74,GS,1717520533
18,port-aux-francais,-49.35,70.2167,274.97,66,95,14.34,TF,1717520533
19,hamilton,39.1834,-84.5333,304.05,63,97,1.34,US,1717520386
20,avarua,-21.2078,-159.775,295.18,68,20,2.06,CK,1717520535
21,thompson,55.7435,-97.8558,282.24,81,100,4.63,CA,1717520536
22,gao,16.6362,1.637,315.85,10,19,1.8,ML,1717520481
23,kangding,30.0513,101.9603,286.96,99,100,0.88,CN,1717520537
24,adamstown,-25.066,-130.1015,294.82,75,59,3.5,PN,1717520538
25,lazaro cardenas,17.9583,-102.2,302.16,58,5,3.87,MX,1717520538
26,pagar alam,-4.0167,103.2667,294.66,99,100,0.72,ID,1717520539
27,vilyuysk,63.7553,121.6247,292.59,37,100,6.26,RU,1717520540
28,goroka,-6.0834,145.3873,287.98,99,47,0.89,PG,1717520540
29,ghormach,35.7306,63.7826,300.44,19,11,4.9,AF,1717520541
30,petropavlovsk-kamchatsky,53.0452,158.6483,277.85,87,100,2.68,RU,1717520541
31,bilibino,68.0546,166.4372,281.49,57,97,0.32,RU,1717520542
32,hermanus,-34.4187,19.2345,289.15,96,100,4.84,ZA,1717520543
33,jamestown,42.097,-79.2353,301.77,50,0,1.54,US,1717520544
34,emerald,-23.5333,148.1667,286.67,68,89,4.71,AU,1717520544
35,najran,17.4924,44.1277,308.51,11,0,3.49,SA,1717520545
36,taitung city,22.7583,121.1444,297.09,70,96,2.77,TW,1717520514
37,chonchi,-42.6128,-73.8092,283.22,96,100,2.4,CL,1717520547
38,port elizabeth,-33.918,25.5701,288.88,99,100,3.6,ZA,1717520547
39,alice springs,-23.7,133.8833,281.9,81,75,3.6,AU,1717520548
40,bontang,0.1333,117.5,298.24,90,99,2.59,ID,1717520548
41,klyuchi,52.2667,79.1667,282.73,73,69,3.92,RU,1717520549
42,greifswald,54.1,13.3833,289.87,84,98,2.59,DE,1717520550
43,west island,-12.1568,96.8225,301.14,94,40,4.12,CC,1717520550
44,ogoja,6.6547,8.7976,302.67,70,87,4.11,NG,1717520551
45,valparaiso,-33.0393,-71.6273,289.34,80,100,2.57,CL,1717520493
46,waitangi,-43.9535,-176.5597,282.49,80,38,1.34,NZ,1717520552
47,pericos,25.05,-107.7,305.81,34,0,2.69,MX,1717520552
48,lihue,21.9789,-159.3672,296.92,84,100,6.69,US,1717520404
49,new plymouth,-39.0667,174.0833,282.49,100,100,2.65,NZ,1717520553
50,ploneour-lanvern,47.9,-4.2833,290.33,72,75,5.14,FR,1717520554
51,howrah,22.5892,88.3103,301.15,89,75,4.12,IN,1717520555
52,nova sintra,14.8667,-24.7167,297.48,78,4,9.72,CV,1717520555
53,tiksi,71.6872,128.8694,279.83,79,85,1.11,RU,1717520556
54,mount pearl,47.5166,-52.7813,283.44,99,100,7.72,CA,1717520556
55,ta`u,-14.2336,-169.5144,299.86,79,87,5.93,AS,1717520557
56,stanley,54.868,-1.6985,286.36,52,20,9.26,GB,1717520558
57,liman,48.9884,37.8023,293.97,80,71,1.53,UA,1717520558
58,susuman,62.7833,148.1667,278.7,57,21,3.13,RU,1717520559
59,illizi,26.4833,8.4667,317.04,10,61,14.94,DZ,1717520532
60,tolanaro,-25.0319,46.9987,295.19,88,40,8.23,MG,1717520560
61,ust'-ordynskiy,52.805,104.7508,285.0,94,100,4.34,RU,1717520561
62,ust-nera,64.5667,143.2,283.98,53,16,2.39,RU,1717520561
63,atafu village,-8.5421,-172.5159,301.67,73,100,1.9,TK,1717520562
64,bredasdorp,-34.5322,20.0403,289.56,93,100,7.52,ZA,1717520563
65,bria,6.5423,21.9863,295.68,89,70,2.35,CF,1717520563
66,guerrero negro,27.9769,-114.0611,292.94,63,100,2.74,MX,1717520281
67,horta,38.5333,-28.6333,293.16,84,40,2.68,PT,1717520565
68,mumford,5.2618,-0.759,300.59,79,100,6.05,GH,1717520565
69,utrik,11.2278,169.8474,301.29,81,100,9.5,MH,1717520566
70,afaahiti,-17.75,-149.2833,298.08,85,55,3.58,PF,1717520566
71,grand falls-windsor,48.9332,-55.6649,283.5,96,100,5.89,CA,1717520567
72,wingham,43.8879,-81.3114,299.58,66,100,3.1,CA,1717520568
73,mournies,35.4764,24.0092,314.19,32,0,2.06,GR,1717520568
74,dikwa,12.024,13.9165,312.43,19,21,7.25,NG,1717520569
75,turpan,42.9333,89.1667,299.45,21,44,2.69,CN,1717520317
76,albany,42.6001,-73.9662,304.22,47,82,2.19,US,1717520407
77,san isidro,-12.1167,-77.05,295.77,73,100,1.54,PE,1717520571
78,la passe,45.5549,-0.8967,298.28,74,65,4.57,FR,1717520571
79,dalhart,36.0595,-102.5133,306.16,16,0,7.72,US,1717520572
80,kurumkan,54.3,110.3,291.0,50,45,1.79,RU,1717520573
81,ribeira grande,38.5167,-28.7,293.58,88,40,2.68,PT,1717520574
82,fagersta,60.0042,15.7932,295.36,35,10,4.36,SE,1717520574
83,yulinshi,38.2906,109.7494,287.91,80,100,7.6,CN,1717520575
84,nuku'alofa,-21.1333,-175.2,294.34,68,20,2.57,TO,1717520575
85,savanna-la-mar,18.219,-78.1332,303.12,77,48,0.51,JM,1717520576
86,lorengau,-2.0226,147.2712,300.17,83,66,1.75,PG,1717520470
87,zhumysker,49.3333,49.4,295.8,69,100,5.38,KZ,1717520577
88,port mathurin,-19.6833,63.4167,296.45,74,80,11.16,MU,1717520578
89,antofagasta,-23.65,-70.4,291.75,74,56,2.57,CL,1717520412
90,sao jose da coroa grande,-8.8978,-35.1478,301.27,69,44,3.34,BR,1717520579
91,margaret river,-33.95,115.0667,289.51,79,89,2.76,AU,1717520580
92,badger,64.8,-147.5333,288.71,66,82,1.34,US,1717520580
93,nova vicosa,-17.8919,-39.3719,299.31,68,97,3.54,BR,1717520581
94,vorgashor,67.5833,63.95,269.15,94,35,2.33,RU,1717520582
95,novodvinsk,64.4165,40.8122,296.01,78,84,1.24,RU,1717520582
96,woodlake,37.4211,-77.6793,305.25,61,0,2.57,US,1717520583
97,dhuusamarreeb,5.535,46.3861,304.6,43,86,9.23,SO,1717520584
98,pisco,-13.7,-76.2167,290.18,88,100,2.57,PE,1717520584
99,dryden,49.7833,-92.7503,296.31,64,0,5.66,CA,1717520336
100,contamana,-7.3333,-75.0167,306.62,36,63,2.36,PE,1717520585
101,ilo,-17.6394,-71.3375,291.63,68,75,4.63,PE,1717520586
102,nieuw amsterdam,5.8833,-55.0833,305.24,79,40,2.06,SR,1717520586
103,kuta,-8.7233,115.1723,300.12,94,20,2.68,ID,1717520587
104,frankenmuth,43.3317,-83.738,302.54,57,0,5.14,US,1717520401
105,cabedelo,-6.9811,-34.8339,302.52,74,37,3.86,BR,1717520589
106,bethel,41.3712,-73.414,301.71,61,0,5.66,US,1717520589
107,constantia,44.1833,28.65,296.53,86,62,2.72,RO,1717520590
108,le port,-20.9373,55.2919,294.15,83,37,3.98,RE,1717520591
109,hutchinson island south,27.2995,-80.2205,305.41,66,75,5.14,US,1717520592
110,saint-pierre,-21.3393,55.4781,293.97,78,75,11.83,RE,1717520592
111,udachny,66.4167,112.4,285.62,49,100,4.55,RU,1717520475
112,juegang,32.3174,121.1855,292.75,81,100,4.75,CN,1717520593
113,enewetak,11.3474,162.3373,300.23,86,100,10.61,MH,1717520594
114,saint-felix-de-valois,46.1668,-73.4324,298.73,60,100,0.45,CA,1717520595
115,tazovsky,67.4667,78.7,271.89,95,100,3.31,RU,1717520595
116,roghun,38.7826,69.8708,287.58,85,98,3.42,TJ,1717520596
117,hithadhoo,-0.6,73.0833,302.21,69,18,2.44,MV,1717520596
118,korsakov,46.6328,142.7813,281.39,87,100,4.59,RU,1717520597
119,zhanaozen,43.3,52.8,303.61,22,75,5.06,KZ,1717520598
120,georgetown,5.4112,100.3354,304.12,65,20,0.51,MY,1717520598
121,saipan,15.1355,145.701,302.54,79,40,2.57,MP,1717520599
122,tadine,-21.55,167.8833,295.45,90,27,2.03,NC,1717520600
123,manta,-0.95,-80.7333,300.03,74,75,3.6,EC,1717520483
124,khorinsk,52.1657,109.7726,289.17,39,57,1.83,RU,1717520601
125,vyerkhnyadzvinsk,55.7815,27.9443,293.93,73,5,2.4,BY,1717520602
126,yuanping,38.7153,112.7575,290.27,75,100,1.2,CN,1717520602
127,chinsali,-10.5414,32.0816,292.39,48,15,2.6,ZM,1717520603
128,hammerfest,70.6634,23.6821,283.4,66,0,1.03,NO,1717520604
129,lebu,-37.6167,-73.65,288.12,54,100,7.0,CL,1717520604
130,cidreira,-30.1811,-50.2056,289.58,70,32,5.44,BR,1717520605
131,crane,31.3974,-102.3501,309.29,7,0,7.05,US,1717520605
132,ulsteinvik,62.3432,5.8487,285.24,87,100,8.49,NO,1717520606
133,ksar el kebir,35.0017,-5.9053,299.11,55,56,5.7,MA,1717520606
134,new norfolk,-42.7826,147.0587,282.55,94,98,1.03,AU,1717520607
135,yarkovo,57.4028,67.0786,286.61,81,92,3.71,RU,1717520608
136,haiku-pauwela,20.9219,-156.3051,297.06,84,40,5.14,US,1717520608
137,daru,-9.0763,143.2092,298.86,88,99,4.1,PG,1717520609
138,vychegodskiy,61.247,46.8984,295.94,65,76,1.82,RU,1717520609
139,tochio-honcho,37.4667,139.0,286.79,92,8,1.2,JP,1717520610
140,nyurba,63.2842,118.3319,284.08,97,81,0.9,RU,1717520610
141,malango,-2.9627,119.9001,292.93,87,99,0.97,ID,1717520611
142,acaponeta,22.4964,-105.3594,306.77,33,3,1.64,MX,1717520612
143,tsiombe,-25.3,45.4833,293.88,88,4,3.32,MG,1717520612
144,port alfred,-33.5906,26.891,286.03,98,97,0.89,ZA,1717520613
145,lata,40.1629,-8.3327,296.52,41,100,3.88,PT,1717520613
146,tura,25.5198,90.2201,297.07,94,2,1.89,IN,1717520614
147,queenstown,-31.8976,26.8753,283.37,83,100,14.97,ZA,1717520443
148,isafjordur,66.0755,-23.124,278.17,70,100,7.2,IS,1717520616
149,brindisi,40.5833,17.6667,298.95,40,30,4.89,IT,1717520617
150,zuni pueblo,35.0725,-108.8506,298.5,20,100,5.28,US,1717520618
151,remire-montjoly,4.9167,-52.2667,302.17,79,100,2.57,GF,1717520619
152,bayanaul,50.7889,75.6956,286.22,86,70,2.3,KZ,1717520619
153,alofi,-19.0595,-169.9187,296.09,73,100,4.12,NU,1717520521
154,kununurra,-15.7667,128.7333,294.14,56,0,4.12,AU,1717520614
155,palmer,42.1584,-72.3287,300.14,51,75,1.54,US,1717520419
156,aasiaat,68.7098,-52.8699,273.67,67,100,3.03,GL,1717520622
157,pitea,65.3172,21.4794,290.2,30,7,2.17,SE,1717520555
158,kodiak,57.79,-152.4072,280.88,76,100,3.09,US,1717520624
159,mingoyo,-10.1,39.6333,296.32,92,66,0.9,TZ,1717520625
160,la ronge,55.1001,-105.2842,284.29,87,100,7.72,CA,1717520626
161,akureyri,65.6835,-18.0878,275.11,93,100,11.83,IS,1717520626
162,eyl,7.9803,49.8164,301.02,77,59,11.35,SO,1717520531
163,anadyr,64.75,177.4833,276.43,64,20,6.0,RU,1717520627
